"Date","Description","ChkRef","Amount","Balance"
01/17/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043014 014426,,-$13.83,"$5,686.10"
01/17/2025,XX8062 POS PURCHASE GOOGLE*YOUTUBEPR G.CO/HELPPAY# CA WPGTID01 032175,,-$13.99,"$5,672.11"
01/21/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$5,627.11"
01/21/2025,XX8062 POS PURCHASE TACO BELL 732577 678-905-3291 GA 7325003 015333,,-$3.17,"$5,623.94"
01/21/2025,XX8062 POS PURCHASE CHICK-FIL-A #081 770-732-8034 GA 1 018529,,-$4.12,"$5,619.82"
01/21/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043014 514364,,-$13.03,"$5,606.79"
01/21/2025,XX8062 POS PURCHASE PAPA JOHN'S #514 187-754-7727 GA 00000000 058688,,-$13.77,"$5,593.02"
01/21/2025,XX8062 POS PURCHASE GA STATE ROAD & 404-893-6100 GA 00000000 007337,,-$20.00,"$5,573.02"
01/21/2025,XX8062 POS PURCHASE QT 781 WOODSTOCK GA 00000000 067183,,-$23.24,"$5,549.78"
01/21/2025,XX8062 POS PURCHASE THE HOME DEPOT # POWDER SPGS GA 00000000 067380,,-$31.55,"$5,518.23"
01/21/2025,XX8062 POS PURCHASE WAL-MART #5814 HOLLY SPRINGS GA 24581401 364190,,-$82.31,"$5,435.92"
01/21/2025,XX8062 POS PURCHASE MICRO ELECTRONIC Marietta GA 99999999 828240,,-$317.97,"$5,117.95"
01/21/2025,COMCAST 8220210 XXXXX2053 2347370,,-$70.00,"$5,047.95"
01/21/2025,ADVS ED SERV PPD STUDNTLOAN 0000,,-$86.18,"$4,961.77"
01/21/2025,SALLIE MAE BANK AUTOPAY BR_BRADLEY SIX,,-$243.41,"$4,718.36"
01/22/2025,XX8062 MT DDA CREDIT CASH APP*LANA BU Oakland CA 1 521127,,$20.00,"$4,738.36"
01/22/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 016808,,-$17.79,"$4,720.57"
01/23/2025,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 506942,,-$6.56,"$4,714.01"
01/23/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 045805,,-$13.77,"$4,700.24"
01/23/2025,XX8062 POS PURCHASE QT 781 OUTSIDE WOODSTOCK GA 001 664347,,-$34.73,"$4,665.51"
01/24/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,$857.76,"$5,523.27"
01/24/2025,IGS ENERGY SCANA BILL PAY 13871151491,,-$63.21,"$5,460.06"
01/27/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$5,415.06"
01/27/2025,XX8062 POS PURCHASE QT 845 MARIETTA GA 00000000 075459,,-$2.95,"$5,412.11"
01/27/2025,XX8062 POS PURCHASE QT 845 MARIETTA GA 00000000 075458,,-$3.17,"$5,408.94"
01/27/2025,XX8062 POS PURCHASE QT 781 WOODSTOCK GA 00000000 075731,,-$6.62,"$5,402.32"
01/27/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 044608,,-$8.47,"$5,393.85"
01/27/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043011 511246,,-$15.13,"$5,378.72"
01/27/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043013 513821,,-$26.80,"$5,351.92"
01/27/2025,XX8062 POS PURCHASE WL *STEAM PURCHA 425-889-9642 WA 00000000 057609,,-$28.61,"$5,323.31"
01/27/2025,XX8062 POS PURCHASE TAPATIOS MEXICAN CANTON GA 94757181 090048,,-$33.31,"$5,290.00"
01/28/2025,XX8062 POS PURCHASE QT 801 WOODSTOCK GA 00000000 073196,,-$3.17,"$5,286.83"
01/28/2025,XX8062 POS PURCHASE XFINITY MOBILE 888-936-4968 PA 00000000 035161,,-$57.35,"$5,229.48"
01/29/2025,XX8062 POS PURCHASE TACO BELL 732577 678-905-3291 GA 7325003 014288,,-$3.17,"$5,226.31"
01/29/2025,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 401233,,-$6.56,"$5,219.75"
01/29/2025,XX8062 POS PURCHASE PETS AND SUPPLIE KENNESAW GA 75587130 090002,,-$7.96,"$5,211.79"
01/29/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043013 513590,,-$55.44,"$5,156.35"
01/31/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,$376.74,"$5,533.09"
01/31/2025,XX8062 POS PURCHASE QT 720 LITHIA SPRING GA 00000000 039363,,-$3.20,"$5,529.89"
01/31/2025,XX8062 POS PURCHASE MCDONALD'S F1016 KENNESAW GA 1 034353,,-$10.26,"$5,519.63"
02/03/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$5,474.63"
02/03/2025,XX8062 POS PURCHASE QT 781 WOODSTOCK GA 00000000 068621,,-$6.62,"$5,468.01"
02/03/2025,XX8062 POS PURCHASE CHEVRON 0307698 MABLETON GA 00000000 094091,,-$7.52,"$5,460.49"
02/03/2025,XX8062 POS PURCHASE LINODE . AKAMAI 609-380-7100 MA 00000000 079992,,-$14.00,"$5,446.49"
02/03/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043003 503319,,-$17.60,"$5,428.89"
02/03/2025,XX8062 POS PURCHASE SLICE*SAPORITOSP SLICELIFE.COM NY OIWK9ICL 056240,,-$24.20,"$5,404.69"
02/03/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043013 513225,,-$25.76,"$5,378.93"
02/03/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 009108,,-$26.49,"$5,352.44"
02/03/2025,XX8062 POS PURCHASE QT 781 OUTSIDE WOODSTOCK GA 001 560049,,-$32.32,"$5,320.12"
02/03/2025,XX8062 POS PURCHASE BALL GROUND BURG BALL GROUND GA 75201321 049221,,-$41.38,"$5,278.74"
02/03/2025,PAYPAL INST XFER PATREON MEMBER,,-$21.20,"$5,257.54"
02/04/2025,XX8062 POS PURCHASE QT 720 LITHIA SPRING GA 00000000 034877,,-$4.84,"$5,252.70"
02/04/2025,XX8062 POS PURCHASE TEXACO 0306725 FAIRBURN GA 00000000 027619,,-$5.17,"$5,247.53"
02/05/2025,XX8062 POS PURCHASE TEXACO 0306725 FAIRBURN GA 00000000 044163,,-$6.62,"$5,240.91"
02/05/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043013 513974,,-$26.79,"$5,214.12"
02/05/2025,MIDJOURNEY INC. MIDJOURNEY ST-L6U2D5A4D3S9,,-$10.60,"$5,203.52"
02/06/2025,XX8062 MT DDA CREDIT CASH APP*LANA BU Oakland CA 1 387849,,$300.00,"$5,503.52"
02/06/2025,XX8062 POS PURCHASE QT 727 MARIETTA GA 00000000 097658,,-$2.43,"$5,501.09"
02/06/2025,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 901928,,-$6.56,"$5,494.53"
02/06/2025,XX8062 POS PURCHASE QT 781 WOODSTOCK GA 00000000 012287,,-$6.62,"$5,487.91"
02/07/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,$417.13,"$5,905.04"
02/07/2025,XX8062 POS PURCHASE QT 839 MABLETON GA 00000000 090324,,-$3.17,"$5,901.87"
02/07/2025,XX8062 POS PURCHASE KROGER #430 5339 WOODSTOCK GA 99999999 029266,,-$11.70,"$5,890.17"
02/07/2025,XX8062 POS PURCHASE KROGER #430 5339 WOODSTOCK GA 99999999 522541,,-$14.24,"$5,875.93"
02/07/2025,XX8062 POS PURCHASE WAL-MART #0855 UNION CITY GA 24085501 855982,,-$14.76,"$5,861.17"
02/07/2025,XX8062 POS PURCHASE OPENAI *CHATGPT OPENAI.COM CA 7N3QWJUF 091077,,-$20.00,"$5,841.17"
02/07/2025,ACCT INTEGRATORS Assn Dues 242607,,-$1.99,"$5,839.18"
02/07/2025,ACCT INTEGRATORS Assn Dues 243541,,-$1.99,"$5,837.19"
02/07/2025,GPC GPC EFT XXXXXX9366CTN,,-$393.02,"$5,444.17"
02/10/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$5,399.17"
02/10/2025,XX8062 POS PURCHASE CHICK-FIL-A #081 770-732-8034 GA 1 010662,,-$4.12,"$5,395.05"
02/10/2025,XX8062 POS PURCHASE PAPA JOHN'S #514 187-754-7727 GA 00000000 019523,,-$7.62,"$5,387.43"
02/10/2025,XX8062 POS PURCHASE KROGER #430 5339 WOODSTOCK GA 99999999 716338,,-$12.27,"$5,375.16"
02/10/2025,XX8062 POS PURCHASE LA BELLAS PIZZA MARIETTA GA 00276302 084265,,-$19.58,"$5,355.58"
02/10/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 097303,,-$24.48,"$5,331.10"
02/10/2025,XX8062 POS PURCHASE SQ *JULIENNE'S S Marietta GA 00000000 074461,,-$30.00,"$5,301.10"
02/10/2025,XX8062 POS PURCHASE QT 781 OUTSIDE WOODSTOCK GA 001 709079,,-$31.75,"$5,269.35"
02/10/2025,XX8062 POS PURCHASE QT 781 WOODSTOCK GA 00000000 038130,,-$32.71,"$5,236.64"
02/10/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 028003,,-$42.39,"$5,194.25"
