Date,Other,Paycheck,Buckys,CNN,Cell Phone,Chik,Comcast,Georgia Power,HOA,HOA fee,Kroger,Linode,Marcos,Papa Johns,Patreon,Piano Lessons,Quik Trip,Racetrac,Taco Mac,Walmart,Wendys
12-11-2024,500.0,,,,,,,,,,-19.64,,,,,,,,,,
12-12-2024,,,,,,,,,,,,,,,,,,-9.9,,,
12-13-2024,,582.3,,,,,,,,,,,,,,,,-2.43,,,
12-16-2024,,,,,,,,,,,-59.989999999999995,,,,,-45.0,-9.05,,,,
12-17-2024,,,,,,,,,,,,,,,,,,,,,
12-18-2024,0.06,,,,,,,,,,,,,,,,-38.79,,,,
12-19-2024,,,,,,,,,,,-22.81,,,,,,-23.24,,,,
12-20-2024,,535.94,,,,,,,,,-37.29,,,,,,,,,,
12-23-2024,,,,,,-12.89,-70.0,,,,,,,,,-45.0,,,,,
12-24-2024,320.0,,,,,,,,,,-19.52,,,,,,,,,,
12-27-2024,,923.82,,,,,,,,,-72.19,,,,,,-7.0,,,,
12-30-2024,,,,,-57.34,-8.31,,,,,-31.56,,,,,-45.0,,-37.72,,,
12-31-2024,,,,,,,,,,,,,,,,,,,,,
